timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-03-23T11:02:11Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:02:11Z,bangi-backend-mariadb-1,100.23%,106.9MiB / 160MiB,66.79%,251MB / 2.99MB,14.1MB / 1.29GB,14
2026-03-23T11:02:18Z,agitated_black,1.16%,67.07MiB / 7.655GiB,0.86%,175kB / 303kB,0B / 0B,17
2026-03-23T11:02:18Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,340kB / 268kB,205kB / 61.4kB,4
2026-03-23T11:02:18Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:02:18Z,bangi-backend-mariadb-1,100.46%,106.9MiB / 160MiB,66.84%,251MB / 2.99MB,14.4MB / 1.29GB,14
2026-03-23T11:02:25Z,agitated_black,1.10%,67.07MiB / 7.655GiB,0.86%,182kB / 319kB,0B / 0B,17
2026-03-23T11:02:25Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,355kB / 274kB,205kB / 61.4kB,4
2026-03-23T11:02:25Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:02:25Z,bangi-backend-mariadb-1,100.49%,107MiB / 160MiB,66.87%,251MB / 2.99MB,14.8MB / 1.29GB,14
2026-03-23T11:02:33Z,agitated_black,1.24%,67.15MiB / 7.655GiB,0.86%,189kB / 336kB,0B / 0B,17
2026-03-23T11:02:33Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,370kB / 279kB,205kB / 61.4kB,4
2026-03-23T11:02:33Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:02:33Z,bangi-backend-mariadb-1,100.16%,107MiB / 160MiB,66.89%,251MB / 2.99MB,15.1MB / 1.29GB,14
2026-03-23T11:02:41Z,agitated_black,1.03%,67.18MiB / 7.655GiB,0.86%,194kB / 348kB,0B / 0B,17
2026-03-23T11:02:41Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,382kB / 285kB,205kB / 61.4kB,4
2026-03-23T11:02:41Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:02:41Z,bangi-backend-mariadb-1,107.63%,107.2MiB / 160MiB,67.03%,251MB / 2.99MB,15.3MB / 1.29GB,15
2026-03-23T11:02:48Z,agitated_black,1.01%,67.51MiB / 7.655GiB,0.86%,200kB / 361kB,0B / 0B,17
2026-03-23T11:02:48Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,393kB / 289kB,205kB / 61.4kB,4
2026-03-23T11:02:48Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:02:48Z,bangi-backend-mariadb-1,100.24%,107.3MiB / 160MiB,67.04%,251MB / 2.99MB,15.7MB / 1.29GB,15
2026-03-23T11:02:55Z,agitated_black,1.11%,69.68MiB / 7.655GiB,0.89%,207kB / 377kB,0B / 0B,17
2026-03-23T11:02:55Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,407kB / 294kB,205kB / 61.4kB,4
2026-03-23T11:02:55Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:02:55Z,bangi-backend-mariadb-1,101.11%,107.3MiB / 160MiB,67.05%,251MB / 2.99MB,16MB / 1.29GB,15
2026-03-23T11:03:03Z,agitated_black,1.46%,71.93MiB / 7.655GiB,0.92%,214kB / 390kB,0B / 0B,17
2026-03-23T11:03:03Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,418kB / 298kB,205kB / 61.4kB,4
2026-03-23T11:03:03Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:03:03Z,bangi-backend-mariadb-1,100.44%,107.4MiB / 160MiB,67.14%,251MB / 2.99MB,16.1MB / 1.29GB,15
2026-03-23T11:03:11Z,agitated_black,1.00%,76.46MiB / 7.655GiB,0.98%,219kB / 403kB,0B / 0B,17
2026-03-23T11:03:11Z,bangi-backend-backend-1,0.01%,51.19MiB / 160MiB,31.99%,432kB / 304kB,205kB / 61.4kB,4
2026-03-23T11:03:11Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:03:11Z,bangi-backend-mariadb-1,106.91%,107.9MiB / 160MiB,67.45%,251MB / 2.99MB,16.5MB / 1.29GB,16
2026-03-23T11:03:18Z,agitated_black,1.40%,79.56MiB / 7.655GiB,1.02%,228kB / 422kB,0B / 0B,17
2026-03-23T11:03:18Z,bangi-backend-backend-1,0.01%,51.19MiB / 160MiB,31.99%,447kB / 310kB,205kB / 61.4kB,4
2026-03-23T11:03:18Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:03:18Z,bangi-backend-mariadb-1,100.30%,107.7MiB / 160MiB,67.31%,251MB / 2.99MB,16.8MB / 1.29GB,16
2026-03-23T11:03:25Z,agitated_black,0.76%,78.55MiB / 7.655GiB,1.00%,233kB / 433kB,0B / 0B,17
2026-03-23T11:03:25Z,bangi-backend-backend-1,0.01%,51.19MiB / 160MiB,31.99%,455kB / 314kB,205kB / 61.4kB,4
2026-03-23T11:03:25Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:03:25Z,bangi-backend-mariadb-1,108.04%,108.1MiB / 160MiB,67.54%,251MB / 2.99MB,17.2MB / 1.29GB,16
2026-03-23T11:03:33Z,agitated_black,0.89%,78.48MiB / 7.655GiB,1.00%,237kB / 438kB,0B / 0B,17
2026-03-23T11:03:33Z,bangi-backend-backend-1,0.01%,51.19MiB / 160MiB,31.99%,458kB / 316kB,205kB / 61.4kB,4
2026-03-23T11:03:33Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:03:33Z,bangi-backend-mariadb-1,101.17%,107.9MiB / 160MiB,67.43%,251MB / 2.99MB,17.6MB / 1.29GB,16
2026-03-23T11:03:41Z,agitated_black,0.89%,78.92MiB / 7.655GiB,1.01%,241kB / 444kB,0B / 0B,17
2026-03-23T11:03:41Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,465kB / 320kB,205kB / 61.4kB,4
